accession,c1,c2,filter_len,min_len,refine,n_pred,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,mabe,median_jaccard
AC_000091.1,0.05,0.05,200,8000,True,17,43.92731497918213,61.03960174014441,51.08858858858858,90.49792894230208,0.46744796176745623,13610,17373,234586,8687,15695.0,0.30244444444444446
AC_000091.1,0.05,0.05,200,10000,False,23,48.24934554973822,79.35596717047136,60.0111923213892,91.40182894813604,0.5767406680196522,17694,18978,232981,4603,7859.5,0.2997919901200233
AC_000091.1,0.05,0.05,200,10000,True,15,43.92731497918213,61.03960174014441,51.08858858858858,90.49792894230208,0.46744796176745623,13610,17373,234586,8687,15695.0,0.30244444444444446
AC_000091.1,0.05,0.05,400,8000,False,7,43.98831488314883,51.325290397811365,47.3744126839567,90.72946444198121,0.42475871317161557,11444,14572,237387,10853,8861.0,0.3923746828498937
AC_000091.1,0.05,0.05,400,8000,True,5,100.0,61.03960174014441,75.80694572089008,96.83252143982266,0.7681486143436763,13610,0,251959,8687,15695.0,0.30244444444444446
AC_000091.1,0.05,0.05,400,10000,False,7,43.98831488314883,51.325290397811365,47.3744126839567,90.72946444198121,0.42475871317161557,11444,14572,237387,10853,8861.0,0.3923746828498937
AC_000091.1,0.05,0.05,400,10000,True,5,100.0,61.03960174014441,75.80694572089008,96.83252143982266,0.7681486143436763,13610,0,251959,8687,15695.0,0.30244444444444446
AC_000091.1,0.05,0.05,600,8000,False,3,72.53637478015243,61.03960174014441,66.29322942036043,94.95361997549735,0.6386435132002033,13610,5153,246806,8687,11795.0,0.3658602150537634
AC_000091.1,0.05,0.05,600,8000,True,3,49.41723248974256,61.03960174014441,54.616958946988234,91.75296073741322,0.504749479412021,13610,13931,238028,8687,27695.0,0.1972463768115942
AC_000091.1,0.05,0.05,600,10000,False,3,72.53637478015243,61.03960174014441,66.29322942036043,94.95361997549735,0.6386435132002033,13610,5153,246806,8687,11795.0,0.3658602150537634
AC_000091.1,0.05,0.05,600,10000,True,3,49.41723248974256,61.03960174014441,54.616958946988234,91.75296073741322,0.504749479412021,13610,13931,238028,8687,27695.0,0.1972463768115942
AC_000091.1,0.075,0.075,200,8000,False,28,36.77720207253886,95.50163699152353,53.10423083157724,86.286899830815,0.5422568850594316,21294,36606,215353,1003,7925.0,0.36049158822435906
AC_000091.1,0.075,0.075,200,8000,True,24,22.670109103023236,61.03960174014441,33.06126415002672,79.90490636485619,0.28164822831225345,13610,46425,205534,8687,15695.0,0.30244444444444446
AC_000091.1,0.075,0.075,200,10000,False,27,40.75796726959518,95.50163699152353,57.13289152424136,88.34884195787876,0.5791528301986173,21294,30951,221008,1003,7925.0,0.36049158822435906
AC_000091.1,0.075,0.075,200,10000,True,18,30.302355612949196,61.03960174014441,40.49932302748062,85.41836823989264,0.35902854501427856,13610,31304,220655,8687,15695.0,0.30244444444444446
AC_000091.1,0.075,0.075,400,8000,False,12,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,16375.0,0.25286574267390444
AC_000091.1,0.075,0.075,400,8000,True,12,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,25315.5,0.18871638655462186
AC_000091.1,0.075,0.075,400,10000,False,12,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,16375.0,0.25286574267390444
AC_000091.1,0.075,0.075,400,10000,True,12,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,25315.5,0.18871638655462186
AC_000091.1,0.075,0.075,600,8000,False,7,41.1448901766122,86.61703368166121,55.78889595008377,88.83889504696342,0.5489450326884862,19313,27626,224333,2984,12815.5,0.2825683133956086
AC_000091.1,0.075,0.075,600,8000,True,7,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,25315.5,0.2174654213036566
AC_000091.1,0.075,0.075,600,10000,False,7,41.1448901766122,86.61703368166121,55.78889595008377,88.83889504696342,0.5489450326884862,19313,27626,224333,2984,12815.5,0.2825683133956086
AC_000091.1,0.075,0.075,600,10000,True,7,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,25315.5,0.2174654213036566
AC_000091.1,0.1,0.05,200,8000,False,27,36.96875,95.50163699152353,53.3036284215928,86.3962866810571,0.544089527082808,21294,36306,215653,1003,7925.0,0.3606246149958929
AC_000091.1,0.1,0.05,200,8000,True,23,22.670109103023236,61.03960174014441,33.06126415002672,79.90490636485619,0.28164822831225345,13610,46425,205534,8687,15695.0,0.30244444444444446
AC_000091.1,0.1,0.05,200,10000,False,26,40.836130022053894,95.50163699152353,57.209639719513184,88.3853042412928,0.5798537975099599,21294,30851,221108,1003,7925.0,0.3606246149958929
